UF,Regiao,Populacao
Acre,Norte,803513
Alagoas,Nordeste,3340932
Amapa,Norte,766679
Amazonas,Norte,3938336
Bahia,Nordeste,15203934
Ceara,Nordeste,8904459
Distrito Federal,Centro-oeste,2914830
Espirito Santo,Sudeste,3929911
Goias,Centro-oeste,6610681
Maranhao,Nordeste,6904241
Mato Grosso,Centro-oeste,3270973
Mato Grosso Do Sul,Centro-oeste,2651235
Minas Gerais,Sudeste,20869101
Para,Norte,8175113
Paraiba,Nordeste,3972202
Parana,Sul,11163018
Pernambuco,Nordeste,9345173
Piaui,Nordeste,3204028
Rio De Janeiro,Sudeste,16550024
Rio Grande Do Norte,Nordeste,3442175
Rio Grande Do Sul,Sul,11247972
Rondonia,Norte,1768204
Roraima,Norte,505665
Santa Catarina,Sul,6819190
Sao Paulo,Sudeste,44396484
Sergipe,Nordeste,2242937
Tocantins,Norte,1515126
